SocialSecurityNumber,Name,CareOfAddress,StreetAddress,PostalCode,City,YearConcerned,SumReceivedInterest,PaidAmount,SumPreliminaryTax,SumPaidInterest,SumDebth,BalanceExists,SignSumReceivedInterest,SignSumPreliminaryTax,SignSumBalance,SignSumPaidInterest,SignSumDebth,SumBalance
1.90912E+11,sara Zittenbaum                         ,                                        ,Mikaels väg 25                          ,61337,Oxelösund,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.90912E+11,sara Zittenbaum                         ,                                        ,Mikaels väg 25                          ,61337,Oxelösund,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.90912E+11,sara Zittenbaum                         ,                                        ,Mikaels väg 25                          ,61337,Oxelösund,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.90912E+11,sara Zittenbaum                         ,                                        ,Mikaels väg 25                          ,61337,Oxelösund,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.90912E+11,sara Zittenbaum                         ,                                        ,Mikaels väg 25                          ,61337,Oxelösund,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.90912E+11,sara Zittenbaum                         ,                                        ,Mikaels väg 25                          ,61337,Oxelösund,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.90912E+11,sara Zittenbaum                         ,                                        ,Mikaels väg 25                          ,61337,Oxelösund,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.90912E+11,sara Zittenbaum                         ,                                        ,Mikaels väg 25                          ,61337,Oxelösund,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91001E+11,Kalevi Pelto                            ,                                        ,mias väg 8                              ,90131,Umeå,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
1.91704E+11,ÅKE JANSSON                             ,                                        ,TESTGATAN 2                             ,34380,ÄLMHULT,2022,0,0,0,0,0,Y,+,+,+,+,+,0
